 time            v(in)           v(out)         
 3.15276939e-03  5.00000000e+00  4.41891270e+00 
 3.16276939e-03  5.00000000e+00  4.42469467e+00 
 3.17276939e-03  5.00000000e+00  4.43041910e+00 
 3.18276939e-03  5.00000000e+00  4.43608657e+00 
 3.19276939e-03  5.00000000e+00  4.44169765e+00 
 3.20276939e-03  5.00000000e+00  4.44725290e+00 
 3.21276939e-03  5.00000000e+00  4.45275287e+00 
 3.22276939e-03  5.00000000e+00  4.45819811e+00 
 3.23276939e-03  5.00000000e+00  4.46358918e+00 
 3.24276939e-03  5.00000000e+00  4.46892660e+00 
 3.25276939e-03  5.00000000e+00  4.47421091e+00 
 3.26276939e-03  5.00000000e+00  4.47944264e+00 
 3.27276939e-03  5.00000000e+00  4.48462232e+00 
 3.28276939e-03  5.00000000e+00  4.48975045e+00 
 3.29276939e-03  5.00000000e+00  4.49482756e+00 
 3.30276939e-03  5.00000000e+00  4.49985415e+00 
 3.31276939e-03  5.00000000e+00  4.50483073e+00 
 3.32276939e-03  5.00000000e+00  4.50975779e+00 
 3.33276939e-03  5.00000000e+00  4.51463582e+00 
 3.34276939e-03  5.00000000e+00  4.51946531e+00 
 3.35276939e-03  5.00000000e+00  4.52424675e+00 
 3.36276939e-03  5.00000000e+00  4.52898062e+00 
 3.37276939e-03  5.00000000e+00  4.53366738e+00 
 3.38276939e-03  5.00000000e+00  4.53830750e+00 
 3.39276939e-03  5.00000000e+00  4.54290146e+00 
 3.40276939e-03  5.00000000e+00  4.54744970e+00 
 3.41276939e-03  5.00000000e+00  4.55195269e+00 
 3.42276939e-03  5.00000000e+00  4.55641087e+00 
 3.43276939e-03  5.00000000e+00  4.56082469e+00 
 3.44276939e-03  5.00000000e+00  4.56519460e+00 
 3.45276939e-03  5.00000000e+00  4.56952102e+00 
 3.46276939e-03  5.00000000e+00  4.57380439e+00 
 3.47276939e-03  5.00000000e+00  4.57804514e+00 
 3.48276939e-03  5.00000000e+00  4.58224370e+00 
 3.49276939e-03  5.00000000e+00  4.58640048e+00 
 3.50276939e-03  5.00000000e+00  4.59051590e+00 
 3.51276939e-03  5.00000000e+00  4.59459037e+00 
 3.52276939e-03  5.00000000e+00  4.59862429e+00 
 3.53276939e-03  5.00000000e+00  4.60261808e+00 
 3.54276939e-03  5.00000000e+00  4.60657213e+00 
 3.55276939e-03  5.00000000e+00  4.61048683e+00 
 3.56276939e-03  5.00000000e+00  4.61436259e+00 
 3.57276939e-03  5.00000000e+00  4.61819978e+00 
 3.58276939e-03  5.00000000e+00  4.62199878e+00 
 3.59276939e-03  5.00000000e+00  4.62575999e+00 
 3.60276939e-03  5.00000000e+00  4.62948377e+00 
 3.61276939e-03  5.00000000e+00  4.63317050e+00 
 3.62276939e-03  5.00000000e+00  4.63682054e+00 
 3.63276939e-03  5.00000000e+00  4.64043427e+00 
 3.64276939e-03  5.00000000e+00  4.64401204e+00 
 3.65276939e-03  5.00000000e+00  4.64755421e+00 
 3.66276939e-03  5.00000000e+00  4.65106113e+00 
 3.67276939e-03  5.00000000e+00  4.65453316e+00 
 3.68276939e-03  5.00000000e+00  4.65797064e+00 
 3.69276939e-03  5.00000000e+00  4.66137392e+00 
 3.70276939e-03  5.00000000e+00  4.66474333e+00 
 3.71276939e-03  5.00000000e+00  4.66807922e+00 
 3.72276939e-03  5.00000000e+00  4.67138191e+00 
 3.73276939e-03  5.00000000e+00  4.67465174e+00 
 3.74276939e-03  5.00000000e+00  4.67788904e+00 
 3.75276939e-03  5.00000000e+00  4.68109412e+00 
 3.76276939e-03  5.00000000e+00  4.68426732e+00 
 3.77276939e-03  5.00000000e+00  4.68740894e+00 
 3.78276939e-03  5.00000000e+00  4.69051929e+00 
 3.79276939e-03  5.00000000e+00  4.69359870e+00 
 3.80276939e-03  5.00000000e+00  4.69664747e+00 
 3.81276939e-03  5.00000000e+00  4.69966591e+00 
 3.82276939e-03  5.00000000e+00  4.70265431e+00 
 3.83276939e-03  5.00000000e+00  4.70561297e+00 
 3.84276939e-03  5.00000000e+00  4.70854219e+00 
 3.85276939e-03  5.00000000e+00  4.71144227e+00 
 3.86276939e-03  5.00000000e+00  4.71431349e+00 
 3.87276939e-03  5.00000000e+00  4.71715614e+00 
 3.88276939e-03  5.00000000e+00  4.71997051e+00 
 3.89276939e-03  5.00000000e+00  4.72275687e+00 
 3.90276939e-03  5.00000000e+00  4.72551551e+00 
 3.91276939e-03  5.00000000e+00  4.72824670e+00 
 3.92276939e-03  5.00000000e+00  4.73095071e+00 
 3.93276939e-03  5.00000000e+00  4.73362782e+00 
 3.94276939e-03  5.00000000e+00  4.73627829e+00 
 3.95276939e-03  5.00000000e+00  4.73890239e+00 
 3.96276939e-03  5.00000000e+00  4.74150037e+00 
 3.97276939e-03  5.00000000e+00  4.74407251e+00 
 3.98276939e-03  5.00000000e+00  4.74661905e+00 
 3.99276939e-03  5.00000000e+00  4.74914025e+00 
 4.00276939e-03  5.00000000e+00  4.75163637e+00 
 4.01276939e-03  5.00000000e+00  4.75410765e+00 
 4.02276939e-03  5.00000000e+00  4.75655434e+00 
 4.03276939e-03  5.00000000e+00  4.75897669e+00 
 4.04276939e-03  5.00000000e+00  4.76137493e+00 
 4.05276939e-03  5.00000000e+00  4.76374931e+00 
 4.06276939e-03  5.00000000e+00  4.76610006e+00 
 4.07276939e-03  5.00000000e+00  4.76842742e+00 
 4.08276939e-03  5.00000000e+00  4.77073163e+00 
 4.09276939e-03  5.00000000e+00  4.77301291e+00 
 4.10276939e-03  5.00000000e+00  4.77527148e+00 
 4.11276939e-03  5.00000000e+00  4.77750759e+00 
 4.12276939e-03  5.00000000e+00  4.77972144e+00 
 4.13276939e-03  5.00000000e+00  4.78191327e+00 
 4.14276939e-03  5.00000000e+00  4.78408329e+00 
 4.15276939e-03  5.00000000e+00  4.78623171e+00 
 4.16276939e-03  5.00000000e+00  4.78835876e+00 
 4.17276939e-03  5.00000000e+00  4.79046464e+00 
 4.18276939e-03  5.00000000e+00  4.79254957e+00 
